职位,企业名称,地区,薪资,要求
大数据开发工程师,杭州博思远望软件有限公司,杭州,12-24万/年,"岗位职责：1、参与公司项目的需求分析、业务设计、编码实现开发过程； 2、完成单元测试、参与技术讨论、编写技术文档；3、负责子系统模块的设计与实现； 4、负责完成领导安排下来的工作任务。任职条件：1、***本科及以上学历，计算机相关专业,有2年以上的大数据技术实践经验；2、精通掌握Java编程，熟悉IO、多线程、集合等基础知识，有性能调优能力；有Python、Scale，Go等编程经验者优先；3、熟练掌握常用设计模式，对面向接口编程、面向服务编程有一定的认识；4、熟悉Hadoop框架体系，掌握kafka等消息中间件知识，有Spark，Kylin，Flink等分布式计算相关开发经验者优先；5、掌握MySQL、Redis、MongoDB等知识，熟悉NoSQL框架，有Hive，Sparksql，Elasticsearch、ClickHouse等数据应用开发经验者优先；6、熟悉Linux下的常用命令，能够熟练使用shell语言进行脚本开发。7、良好的团队协作能力和沟通能力以及极高的项目责任精神，性格成熟沉稳，能够接受工作压力和迎接挑战；加分项：   有数据仓库产品实战经验，对海量数据的存储处理、维度建模、数据分析、数据挖掘等有深刻认识者优先；"
大数据开发工程师/双休,深圳市睿服科技有限公司,广州,1.2-1.8万,"负责系统的模块设计、开发和交付技术要求1.?熟悉SQL，具有一定数据库优化及调优经验2.?熟悉hadoop、spark、hive等一种以上大数据技术3.?对数据仓库系统架构具有良好的认识,参与过企业数据仓库项目实施4.?熟悉数据仓库建模设计、ETL设计"
研发工程师,航天智造（上海）科技有限责任公司,上海,1.3-1.6万,岗位职责1、根据产品功能需求，制订嵌入式软件设计方案；2、负责控制驱动一体化嵌入式产品的应用开发，能独立承担项目开发工作；3、编写测试代码，调试产品功能，编写测试文档及产品使用说明；4、解决在嵌入式产品使用中遇到的各种问题，并进行总结与改进。任职资格1、计算机、自动化、电子信息类相关专业本科及以上学历；?2、有基于ARM的Linux嵌入式软件开发经验，熟悉常用的交叉编译调试方法；?3、熟悉基本的硬件设计原理，能熟练阅读硬件原理图；4、三年以上Linux嵌入式系统开发经验，能独立承担项目开发任务；5、优秀的语言表达和团队协作能力；                        6、能承受工作压力，有责任心和上进心。
数据开发-长沙,京北方信息技术股份有限公司武汉分公司,长沙,1-1.5万,职位描述1.做过银行项目，做过数据建模优先，2.具备较强的编码能力，对代码风格要求严格，熟练掌握Java、Shell、Python等至少其中一门语言3.熟悉大数据的存储/计算相关技术: Hadoop/Hive/Spark/ElasticSearch/HBase/Kafka/Flink等大数据生态圈常用组件。4.参与过大型数据仓库建设者优先。有实时数仓设计、开发经验者优先。5.熟悉业内主流BI产品，有使用经验者优先。岗位要求：1、统招本科学历，学信网可以查学历2.有相关数据开发经验1年及以上
数据工程师,广东德信行信用管理有限公司,佛山,6千-1万,"岗位职责：1.负责项目的数据库设计、ETL设计、ETL开发及相关数据代码开发工作实施；2.负责项目的数据资源目录的编目、库表挂接、目录维护。3.负责项目的数据采集、清洗、加工，以及数据建模工作。4.负责项目的立项、验收等项目过程配置管理。5.负责项目数据库安装、补丁安装、性能调优、巡检、备份等运维工作。6.协助公司项目售前工作的开展；任职要求：1. 专科以上学历，计算机、软件相关专业；2. 熟悉主流的数据库，如：PostgreSQL、Mysql、Oracle；3. 熟悉主流的ETL工具，如：Kettle、DastaStage。4. 具有1年以上工作经验，有数据项目实施经验优先考虑；5. 有良好的分析和解决问题能力，逻辑思维清晰严谨；6. 有良好的团队精神、敬业精神和沟通协调能力，能主动学习钻研与工作相关的知识和技术；7. 有良好的口头和书面表达能力。公司福利：1、上班时间：5天7小时工作制（双休）。2、薪酬回报：有竞争力的薪酬体系，包括基本工资、绩效奖金、福利补贴、项目奖金、股权激励等。3、职业发展：完善的管理和专业""双通道""职业发展体系。4、员工培训：完善的在职培训体系，涵盖研发、技术、销售、管理等多方面的培训及实战演练。5、福利制度：六险一金，生日礼物，节假日福利，人才入户优享政策，高层次人才优享政策。6、假期安排：享有法定节假日、婚假、产假、带薪病假，带薪年假等假期。7、员工活动：员工生日会，不定期的主题活动：如知识竞赛、拓展、旅游、晚会、聚餐等。"
大数据开发工程师,南京云创大数据科技股份有限公司,南京,1.2-1.8万·14薪,"任职要求：1.有一定的Java基础，能够熟练使用Java进行项目开发2.对大数据开发有浓厚的兴趣，学习能力强，熟悉hadoop,spark,flink,hive,hbase等技术3.不怕困难，解决问题能力强，对于开发过程中遇到的各种问题，能想尽一切办法尝试去解决4.为人乐观开朗，可以很好的与他人相处沟通"
大数据开发工程师,上海市联合征信有限公司,上海,20-30万/年,岗位职责：（1）负责公司大数据平台底层数据架构的开发、运维等工作；（2）负责平台基础层架构、实施、测试、开发，为接入多业态的数据源做好数据准备、接口准备、血缘分析准备；（3）针对普惠金融数据做好血缘分析工作、数据字典完善工作、ETL程序、接口程序开发运维工作；（4）了解各业务系统基础层数据，并对接业务及厂商；（5）随业务系统数据变更要求，完善基础层数据架构；（6）基础层数据的血缘分析，并形成相关的数据资产管理文档；（7）辅助数据经理做好代码审计、归档等工作；（8）配合大数据项目架构、落地大数据应用技术；（9）负责数据采集、清洗、存储、监控的流程设计、开发。岗位要求：（1）大学本科及以上学历，具备3年及以上数据开发或数据治理工作经验；（2）熟悉Python、Java语言，有数据相关项目工作经验优先;（3）熟悉主流关系数据库（如Oracle/MSSQL/DB2/Mysql等），精通SQL语言，有一定的SQL优化能力;（4）熟悉Kettle、talend、Datastage等一种以上的主流ETL工具;（5）有Spark/Hive开发经验优先;（6）独立思考能力强，良好的团队合作精神，较强的沟通能力和快速学习能力;（7）具备良好的沟通能力和团队合作精神。
大数据开发,AMARIS摩芮思科技咨询（上海）有限公司,上海,1.5-2.1万,岗位职责：1.负责基于Hadoop/Spark平台架构的开发、设计和布局 ；2.完成系统框架的设计和核心代码的编写；3.针对海量的用户行为数据进行统计、分析与挖掘，不断提高系统运行效率；4.负责对数据进行分析，为项目组提供大数据技术指导及分析手段支撑；5.负责大数据平台的性能监控和持续优化；针对需求提供大数据分析技术解决方案 ；6.大数据平台的运维工作，持续完善大数据平台，保证稳定性、安全性。任职资格：1.2-7年开发经验，计算机或相关专业本科及以上学历；2.精通 Hadoop 大数据平台架构，具有扎实的 Java/Python 等开发语言；并可以开发高效可靠的代码；3.具有较强的数据分析、数据挖掘的能力；4.熟悉spark、Hive、Flink、storm，对分布式存储和计算原理有较深的理解；5.严密的数学思维、突出的分析和归纳能力、优秀的沟通表达能；6.对技术钻研好学、逻辑思维能力强，沟通能力优秀，有团队合作精神。
数据工程师,上海天航智能技术有限公司,上海,8千-1.6万,岗位职责：1、负责搭建数据平台；2、实现社区监测预警数据的汇聚接入、数据治理、数据分发服务；3、实现和其他政务数据平台间的互联互通；4、负责数据平台扩展；5、逐步构建数据学习平台；任职要求：1、计算机及相关专业本科及以上学历；2、3年以上数据开发工作经历；3、熟悉数据库、熟悉ETL数据处理流程框架以及技术实现；4、熟悉数据服务平台的技术架构；5、熟悉数据的分类、分级治理；6、有大数据平台开发背景者优先；
大数据分析工程师（瑞信精英计划）,安徽瑞信软件有限公司,芜湖,1.2-1.5万·14薪,岗位描述：用数学思维分析业务，用数学工具分析数据，建立数学模型。1、学习标准地址库业务知识和模型；2、负责算法程序的问题分析和跟踪解决，对内进行算法程序的批量测试，对测试问题进行分析，并跟进开发解决问题；对外，对接前端运维人员反馈的算法问题，负责问题分析并跟进开发解决问题；3、负责文本数据的规则分析和建模；任职要求：1、重点院校本科以上学历，理工类专业，应届生、往届生均可，有计算机基础者优先考虑；2、思维清晰敏捷，逻辑分析、抽象能力和数学能力强，兴趣深厚重点本科学历年薪15万起，研究生18万起，博士生25万起，优秀者可面议。
大数据开发工程师,深圳市正信软件有限公司,深圳,1.2-1.8万,1、熟练主流数据库与数据仓库的编程，至少熟悉Oracle、Mysql、SQL?Server中的一种，熟悉SQL优化2、具备2年以上ETL工具（如Datastage、DataX）以及SQL?存储过程的使用经验3、3年及以上数据仓库项目工作经验；4、熟悉数据仓库模型设计原理和实践5、了解kudu、hadoop等大数据技术，熟练掌握Hive、Impala优先
大数据开发工程师,广州泓聆信息科技有限公司,深圳,20-30万/年,"岗位职责：1.IOT相关的建设工作；2.负责IOT相关方案设计评审及项目开发3.参与大数据的接入、ETL等日常研发工作4.了解和研究前沿新技术岗位要求：1.3年以上数仓仓库开发经验，3年以上java/scala开发经验；2.熟悉hadoop生态相关技术，如Sqoop、Oozie、HDFS、MR、Hive、Hbase、Spark等；3.有较强的Spark开发及调优经验，对Spark原理有一定的了解,必须有Spark3年经验；4.熟悉Hive，有较好的SQL性能调优经验；5.熟悉常用消息队列及调优，如Kafka、RocketMQ等；6.有数据湖开发经验，如Hudi、Iceberg等；7.有编写Shell脚本的能力8.有良好的开发习惯，乐于了解日常业务，具备从日常业务中发现问题并解决问题的能力；"
数据专员,广州市现代城市更新产业发展中心,广州,4-8千,1、负责产业类数据的分析、整理；2、负责产业类数据的空间地理坐标匹配；3、负责编制区域性的产业地图；4、负责产业地图有关的文档编写与整理；5、按需与客户或其他工作人员沟通和协调。岗位要求：本科或以上学历（数学、计算机、GIS、统计学等相关专业）1至2年数据分析相关工作经验自主学习能力强，快速理解业务有较强的数据思维和分析能力具备团队沟通和协作能力熟悉MS Office或WPS、Photoshop、ArcGIS等软件的使用有IT大数据分析经验者优先；熟悉GIS制图流程，了解常用地图数据格式；熟悉网络编程（html基础了解和使用），熟悉Python/SQL等软件使用者优先福利待遇：1、工作时间（公司实行五天制、每天7小时工作制）；2、五险一金（住房公积金、养老保险、医疗保险、失业保险、工伤保险、生育保险等五险）；3、带薪年假（员工入职满一年后享受带薪年假）；4、法定假日（带薪法定节假，部分节假给予发放节日福利）；5、年度旅游、年终奖金、优秀员工奖及绩效奖金（根据每月综合评比给予不同程度的奖金）；6、每年灵活调薪机会；7、团队年轻有朝气，工作有创意有挑战，专业度高，成长性强以及广阔的发展空间及晋升机会。
数据工程师,江苏东昂科技有限公司,南京,8千-1.5万,【岗位职责】1.带领团队完成客户委托的市场数据研究项目，负责前期沟通、计划、组织、运作和管理；2.参与项目计划书的撰写，参加项目维护；3.进行项目的方案设计、问卷设计、深访提纲设计等研究工作；进行实地调查及研究工作；4.承担客户沟通，研究咨询报告撰写，提案报告陈述等工作;5.领导安排的其他工作。【任职要求】1.熟悉软件项目的实施流程，具有良好的需求理解和项目把控能力，有电力行业两年以上软件项目实施经验优先；2.熟悉Linux系统，熟练使用常用指令；3.具有一定的文档编写能力，能够编写、整理项目实施相关方案文档；4.熟悉MySQL、MongoDB等数据库操作；5.了解消息中间件：mq，kafka6.具备良好团队协作精神和责任心，有较强的抗压能力；7.有积极的沟通欲望，良好的业务沟通能力，善于自我总结和提升；待人诚实可信，具有亲和力、动手能力强；
大数据开发工程师,京北方信息技术股份有限公司上海分公司,上海,1.5-3万,1）负责大数据平台（hadoop、spark）数据加工比对和性能调优相关工作；2）熟悉hadoop、hive、spark、yarn、sparksql、Kafka、flink等3）有hadoop性能调优相关经验，保障关键数据加工作业高效、稳定运行
大数据开发工程师,宁波小遛共享信息科技有限公司,杭州,1.5-2万,岗位职责1. 数据产品的开发及维护工作，实现数据驱动业务，提高商家经营效率；2. 数据服务体系的建设，包括但不限于数据可视化产品，数据赋能运营等场景的设计和落地；3. 数据中台的架构设计和落地，降低数据服务接入成本。工作内容：1. 参与商家数据中心的研发，根据业务需求进行数据模型的设计与开发，并对模型进行持续优化；2. 对系统的技术架构进行持续改进和优化，提升系统的稳定性及海量数据的查询性能和用户体验；3. 基于离线/流式计算技术进行数据处理和分析，并提供在线服务。岗位要求1.本科及以上学历，最少3年以上数据仓库相关工作经验。2. 精通Java开发语言，熟悉Spring、MyBatis等开发框架，具备独立平台开发能力3. 熟悉hadoop/spark/flink等分布式计算技术(尤其spark)，熟悉其运行机制和体系结构；4. 了解Mysql/hudi/Clickhouse/ElasticSearch/Presto等存储引擎的数据存储及使用方法，以及不同场景下的olap技术选型；5. 有良好的开发习惯、沟通表达能力和跨团队协调能力，乐于寻求挑战和突破自我6. 懂业务善思考，对数据敏感，有实际数据驱动业务的工作经验者优先。
大数据项目经理,大展信息科技（深圳）有限公司,福州,1.5-2.5万,"1. 专科及以上学历，5年以上相关工作经验, 具备项目架构设计和管理经验2. 熟悉大数据类项目的开发流程，对大数据类系统架构以及相关技术有较深入的理解，掌握Hadoop/Hive/Spark/HBase/Kafka/Flink等，具备相关开发经验优先3. 熟悉微服务架构，熟悉Spring、Spring Boot、Spring Cloud等主流框架4. 熟悉Oracle、PostgreSQL、GP、MySQL等数据管理技术中的至少一种5.具备良好的沟通能力，能帮助开发人员理解客户的具体需求和商业目标，并能够引导和影响客户需求；6. 能够独挡一面，责任心极强，执行力强，具备良好的分析和表达能力强以及团队合作精神7. 对前沿技术高度敏感，有良好的学习能力和创新能力，对业界技术发展方向有自己的判断和见解"
数据开发工程师,广州卓明信息技术有限公司,广州,8千-1.3万,"岗位职责：1、熟悉统一数据应用平台数据服务设计分析以及开发工作，2、熟悉阿里数据库及java开发语言，3、熟悉金融行业的系统，尤其银行行业，职位要求：1、本科及以上学历，3年以上金融或科技行业服务工作经验，2、熟悉Oracle、MySQL等主流关系型数据库；3、熟悉PowerDesigner建模工具，了解数仓的维度建模以及三范式架构；4、熟悉BI可视化报表开发，能熟练使用FineBI、Tableau、PowerBI等报表工具；5、熟练Linux操作系统常用命令以及Xshell、Xftp等工具的使用，ES(Elasticsearch）,Mongodb等，Java的开发。"
大数据开发,常州星宇车灯股份有限公司,常州,1-2万,工作职责：1、基于大数据平台进行数仓主题建设，包括ETL开发、数据集市建设等。2、负责数据平台相关管理工作，?包括日常监控管理、运维监控、调优、数据治理等。3、根据业务需求完成BI、数据产品与应用的数据研发，发掘数据业务价值，以数据驱动业务不断发展。4、前沿技术研讨、ETL流程优化，根据业务需要适时引入新技术，提升平台效能。5、完成公司安排的其它相关的工作任务。任职要求：1、3年以上数据数据仓库建设相关工作经验，计算机、数学等相关专业，本科以上学历。2、精通SQL，熟悉常用的关系型/非关系型数据库，具备丰富离线、实时数据处理经验。3、熟悉Hadoop、Hive、Presto、Flink、Kafka、Doris、HBASE等相关技术。4、熟悉数据仓库建模理论、数据分层架构，精通3NF和维度模型设计。5、具备Hadoop平台运维管理经验者优先。6、具备制造行业数仓项目经验者优先。7、具备良好的内外部沟通意识和能力，有强烈责任心。
数据开发工程师,远光软件股份有限公司武汉研发中心,武汉,1-1.5万,岗位职责：1、负责数据中台相关项目开发。2、负责数据仓库和大数据处理ETL流程开发以及模型设计；3、负责基于Spark技术的海量数据的处理、分析、统计、挖掘工作；4、总结和编写相关的开发文档；并能够根据规划需求制定相关技术与产品的解决方案。任职要求：1、有报表系统、数据仓库、大数据项目两年以上开发经验；2、精通Oracel、Mysql或Hive、Hbase等数据库；3、熟练掌握SQL、PL/SQL、PERL、Python等脚本语言开发；4、熟悉hadoop及hadoop生态圈中的常用组件，如Spark、HBase、Hive、Zookeeper、Kafka、Solr等全部或者部分组件；5、拥有实际的Hadoop的项目经验，有Spark、Spark streaming使用经验者优先；6、有模型设计或者ETL经验优先；6、有机器学习或深度学习项目经验优先；7、有阿里、华为数据中台项目经验优先。
大数据前/后端/算法工程师,歌尔微电子股份有限公司,青岛,1.5-3万,"任职资格：一、大数据后端应用开发工程师 1名1.	能解决海量数据离线及实时处理中遇到的难题，保证系统的可靠性、高可用性；2.	使用各类机器学习/深度学习/自然语言处理算法，对海量生产数据进行多维度/多场景/立体化的挖掘与建模，精准刻画生产，促进平台增长；3.	在具备数据挖掘及机器学习建模能力的同时，还需具备一定的工程实践能力将算法开发结果落地，提供基于算法及数据挖掘结果的能力输出；4.	负责文本分析、信息抽取等处理模块的设计与开发；负责文本数据的挖掘，包括数据的抓取、清洗、分类、对齐等二、大数据前端应用分析工程师 1名1、前端应用中对数据有一定的处理能力，对json和xml数据重新整合、构建和展示；2、熟悉各种图表含义，能够灵活利用图表进行数据展示，熟悉web中的图表框架，如echart等，熟练应用R或Python等数据挖掘工具；3、精通Web开发，精通HTML、CSS、Javascript、TypeScript；4、精通Vue，熟悉常见的Vue框架，比如Element,vant等；5、有一定的数据库基础知识，能个在BI系统内通过数据库接口开发图表；6、对报表系统有一定的认知，熟悉常见报表的模式；对http协议有较深理解，熟悉websocket。三、大数据算法工程师  1名3.	熟悉Linux环境，精通Java、C++、Python、Scala编程中的至少一种；4.	熟悉常用的数据挖掘技术，如决策树、逻辑回归、神经网络、知识图谱、聚类等，及常用深度学习框架，并有建模经验和机器学习理论基础，熟悉常用的算法模型；5.	熟悉Hadoop、Spark、Hive等大数据处理工具，有海量数据挖掘项目经验者优先。"
大数据开发工程师,上海国际人类表型组研究院,上海,2-2.3万·13薪,岗位职责1、负责数据平台、数据仓库的开发和建设；2、熟悉仓库模型设计以及数据处理流程；3、维护基于CDH的Hadoop生态圈的各个组件；4、参与各产品线实时与离线统计模块的开发维护工作；岗位要求1、从事数据仓库开发及建设3年及以上，有大数据产品开发经验优先录取；2、熟练使用java、sql、python、scala进行开发；3、熟悉hadoop和Flink生态相关组件，有相关项目开发经验，比如hadoop、hbase、spark、spark-stream；4、熟练掌握大规模离线计算或实时计算的应用设计及开发；5、学习能力强，良好的沟通与表达能力和自我驱动力；
应用开发工程师（数据平台开发方向，经验不限）,中银信息技术服务（深圳）有限公司,深圳,1.5-3万,"一、岗位职责1.参与并负责银行数据平台管理，包括需求管理、数据管理、权限管理。2.参与并负责大数据相关分布式平台部署，包括但不限于hadoop、kafka、mongodb、AI，数据服务应用实现。3.参与并负责进行数据平台和应用的系统分析、设计、开发、维护。4.参与并负责为数据平台建立框架、开发标准、企业级数据模型、DEVOPS和方法论。5. 具备较强的问题处理能力，能够分析并解决问题，与团队其他成员密切合作。二、岗位要求1. 具有国家教育部认可的本科或本科以上学历，计算机科学、信息工程、统计学、数学、金融学等相关专业。2. 2年以上应用开发相关经验（或优秀应届毕业生）。企业级数仓、大数据AI经验优先。3. 熟悉数据仓库技术，如SQL、DB2、ETL工具（不限于Datastage）及流程、以及数据可视化工具和报表工具（不限于Tableau，Hyperion，Oracle Analytics，Crystal Report）。4. 熟悉大数据生态技术栈，包括但不限于hadoop、spark、kafka、mongodb。5. 熟悉Java，python，K8s, docker，微服务，分布式计算等相关技术。6. 积极主动，思维开放，具有较强的问题处理能力，沟通和团队协作能力。7. 熟悉银行业务、具有银行业务系统设计开发经验优先。"
数据工程师,上海九蕴网络科技有限公司,上海,1-1.5万,工作职责1、参与建立数据分析平台； 2、 负责业务数据的整理、统计与分析； 3、 负责为相关各种数据报表进行底层数据抽取以及业务逻辑实现； 4、 数据分析工具和数据报表的开发； 5、 进行Oracle数据仓库的设计，及性能优化。 任职要求： 1、 大学本科以上学历； 2、 1年以上数据库开发经验； 3、 精通Oracle PL/SQL语句以及Oracle存储过程的编写，具有良好的数据库知识，和大型数据库编程经验； 4、 具有较强的数据分析能力，熟悉统计学的相关知识； 5、 熟悉OWB，OLAP AWM工具的使用； 6、 思维敏捷，逻辑性强，并具有良好的沟通能力和团队合作精神； 7、 有帆软平台以及数据仓库开发经验的优先考虑。
数据工程师,常熟市凤禧服饰有限责任公司,常熟,1.5-2万,岗位职责：1.Sql server数据库的ETL开发。2.参与数据仓库架构的设计及开发。3.参与数据仓库ETL流程优化及解决ETL相关技术问题。岗位要求：1、计算机相关专业，本科以上学历。2、良好的团队合作精神，较强的沟通能力和理解能力。3、熟悉主流数据库技术， 如MySql、Sqlserver等。4、精通ETL架构，有一定的ETL开发经验， 了解日常作业的部署和调度。5、有PMP项目管理资格认证者优先考虑。
大数据平台架构师,北京寄云鼎城科技有限公司,北京,2-4万,"岗位职责：1、?参与数据中台建设，包括数据查询平台基础建设、实时和离线大数据计算及交互式查询分析等；2、参与大数据基础架构和技术体系的规划建设，包括数据采集平台、数据质量及稳定性保障体系、数据处理智能化和自动化体系的建设。任职要求：1、计算机相关专业，工作经验5年及以上，3年以上大数据相关开发经验；2、熟悉Linux，精通Java/Scala语言中的一种或多种，熟悉Java技术栈；3、熟悉大数据领域的技术栈，如Spark/Flink/Hadoop/Hive等,尤其对spark执行原理及使用调优有深入见解者优先；4、具有数据平台/数据产品的完整搭建经验，实时大数据经验，大规模并发请求经验；5、熟悉数据库，有?MySQL或TiDB调优经验者优先，有一定的数据敏感度和安全意识；6、具备线上系统性能优化经验，生产系统快速?trouble-shooting?的能力，擅长分析更接近本质的原因；7、良好的人际沟通和团队协作能力，有责任心。"
大数据开发工程师,福建星汉信息科技有限公司,福州,8千-1.5万,岗位职责：1、参与大数据平台数据流与技术架构；2、参与大数据平台数仓的搭建；3、参与数据服务的架构及开发(含微服务)，通过编写优质java脚本，以及相关组件的应用，实现与一线生产系统的秒级交互；4、编写java代码，实现行业内价值数据的网络爬取、挖掘与分析，并完成与大数据平台的交互、计算、存储(涉及国内外各电商平台)；5、参与大数据相关技术组件的应用，优化数据流并推进大数据技术演进。岗位要求：1、 计算机相关专业本科及以上学历，3年以上工作经验；2、 熟悉Java编程，具备扎实的数据结构与算法功底；3、 熟悉Hadoop生态圈技术(kafka、flink等)，有阿里云大数据平台实施经验者优先；4、 至少熟悉一种数据库，例如：Oracle/MySQL/PostgreSQL/MongoDB/Redis等数据库；5、 熟练使用Linux系统，至少熟悉perl/shell/python中的一种脚本语言；6、 熟悉BI、ETL等相关工具7、 具备良好的团队合作精神，较强的沟通能力8、具有国网信息化项目经验者优先。
数据开发,上海亿通国际股份有限公司,上海,1.3-2万·14薪,"岗位职责： 1、负责数据处理及数据仓库设计和研发，包括数据建模、数据清洗等；2、负责日常联调工作，辅助日常运维工作。岗位要求： 1、本科及以上学历，计算机相关专业优先；2年以上相关工作经验，有大型数据仓库实施经验者优先；2、熟悉Hive、Greenplum、Clickhouse、Kylin等一种或多种数据仓库架构，了解各种架构的特性及优缺点；3、熟悉数据建模方法，掌握数据清洗机制，能够熟练使用ETL工具者优先（Informatica Powercenter、Talen、Kettel或SSIS）；4、熟悉大数据处理技术，有Flink、Spark开发经验者优先；5、有良好的沟通能力和自我驱动动力,具备出色的规划、执行力,有强烈的责任感,以及优秀的学习能力,对技术有热情，愿意不断尝试新技术和业务挑战。员工福利： 每年调薪，年终奖金；通讯补贴，交通补贴，午餐补贴；给付加班工资；工会福利；国家规定五险一金；企业年金；商业保险，子女商业医疗险，年度体检；专业培训；科普讲座；协助落户等。"
高级大数据开发工程师,云南达速科技有限公司,昆明,1-1.6万,"岗位职责：1、负责大数据采集、存储、计算、分析等场景的通用架构设计和开发 ；2、负责流式数据的实时传递、清洗、转换和计算（实时统计、分析等）的设计和开发 ；3、负责大数据中间件的设计和开发；4、负责以上各种架构平台及相关基础技术组件的稳定性保障及源码级的bugfix 。5、负责参与对公司大数据项目/产品的需求调研、业务分析及大数据培训等工作。任职要求：1、计算机相关专业统招本科或硕士以上学历；2、三年以上数据开发经验, 有协同效率工具产品研发经验优先；3、精通 Java、Python、Scala 任意一种开发语言；4、精通 Hadoop、Hive、Spark, 熟悉至少一个流出理框架(如 SparkStreaming 或 Flink)；5、精通数据仓库建模, 掌握常用数仓建模方式(如维度建模), 并在实际业务中有所应用；6、有数据治理、数据产品研发和管理等经验者优先。公司福利：1、周末双休，带薪婚假、产假、陪产假、丧假等，其他节假日根据国家要求实行；2、五险一金、年底奖金、节日福利等。"
大数据开发工程师,深圳市粤豪珠宝有限公司,深圳,1.5-2.5万,"1、参与项目后端微服务开发工作;2、负责业务、系统功能的实现;3、参与软件的设计、开发、测试和维护;4、整合公司信息化系统;5、独立完成详细设计及编码。任职要求：1、有扎实的软件开发基础，能准确理解需求同时转化成系统设计;2、本科及以上学历，计算机或软件类相关专业，三年以上java开发经验;3、熟练springboot、微服务基本原理及常用组件,对dubbo等架构有实际项目经验;4、熟悉常规微服务常用中间件(redis、rocketMq/kafka、mysql/PG等);5、熟悉springboot/Springcould框架6、有大数据开发经验，熟悉flink/spark优先"
Python后台开发工程师,深圳市智影医疗科技有限公司,深圳,1.5-2.3万,岗位职责：1、负责Pacs、影像云平台后台开发和维护；2、负责内部数据管理系统的开发和维护；3、领导安排的其他开发、维护任务。任职要求：?1、有坚实的计算机软硬件基础，熟悉linux系统；2、3年以上Python Web开发经验、至少熟悉一种Python Web框架(Django Flask Web.py Tornado)；? ?3、有良好的数理统计基础，有可视化相关项目经验者优先；4、熟练数据库原理、熟练mysql，熟悉NoSql技术，熟练mongo者优先；? ??5、熟悉TCPIP协议，多进程与多线程编程、进程间通讯技术；? ??6、对工作热情积极、对软件研发有深刻的理解，热爱学习、能迅速掌握相关领域知识。能独挡一面开发产品；? ??7、有Pacs开发或云影像平台开发维护经验优先；、有大型项目开发经验优先。
大数据开发工程师,武汉兴智联科技服务有限责任公司,宜昌-西陵区,7千-1.2万·13薪,研发工程师类（Java、大数据 ）【岗位职责】1、编码实现：根据项目进度要求，开发相应的软件模块；根据需要及时修改、完善软件；2、技术文档：根据公司要求规范，编写相应的技术文档；编制项目文档、记录单元测试结果3、技术分析：研究项目技术细节；完成项目初始至终结的全部技术实现4、配合测试：配合测试工程师进行软件测试工作【岗位要求】1、熟悉常用网络开发协议、熟练使用3种以上常用应用服务器中间件产品、熟练使用2种以上不同数据库中间件及数据脚本编写与优化；2、不得出现重大安全事故；3、能够独立担当前后端技术方案的选型、设计、搭建、发布等工作；4、针对产品经理的需求，能够迅速理解并开发原型；5、良好的沟通协调能力，具备良好的学习能力和潜力；6、***本科及以上学历，计算机、软件工程、电子信息工程等相关专业。
数字化工程师 应届生,莫仕连接器（成都）有限公司,成都,5.5千-1.1万·13薪,"职责：1 根据生产现场作业流程,对现有制造流程进行数字化改进,终端客户需求客观可视化2 设计现场生产设备IIOT数据采集计划，根据不同设备,设计相应数据采集方案3 对设备产生的数据进行落库、整理、校准和维护.4 结合MES常用工具，根据现场需求开发如产品追溯，设备状态监控，能耗管理等定制化应用项目5 项目部署过程中的操作人员培训和推动6 基于数据归档，利用AI工具进行分析，并对决策提供支持.要求：1 大数据/数学/统计学或其他相关专业毕业生，工程/软件学士学位2 熟练掌握MVC、C#、JavaScript、jQuery、HTML、CSS、Python等一种或多种编程语言3 熟悉SQL server、MySql 等主流数据库相关操作4 有常规AI算法如决策树、TensorFlow、CNN算法有相关应用经验优先优先：1 拥有BI工具化开发或其他类似数据分析和可视化2 了解主流工业协议标准，并对现场设备进行IIOT的部署（主要为FINS Ethernet、Ethernet IP、EtherCAT、Modbus UDP、TCP）3 参与过物联网相关项目，如对IOT MQTT部署或应用4 有工厂级MES/SCADA系统部署经验"
后端数据开发15-20K（六合）,浙江东方基因生物制品股份有限公司,南京,1.5-2万,1、负责大数据平台的开发和维护；数据采集、清洗、建模等开发工作2、参与数据仓库(离线、实时)工具建设、开发和维护3、参与大数据基础架构和技术体系的规划建设，包括数据采集、数据处理智能化与自动化体系和数据质量及稳定性保障体系的建设上班时间：8：30-17：30，五天8小时制，双休。五险一金、员工聚餐、旅游、节日福利等；地址：六合开发区（地铁S8号线直达）
